"filename", "language", "C++", "Markdown", "comment", "blank", "total"
"d:\C++\tinySTL-comment\RedBlackTree.h", "C++", 21, 0, -1, -1, 19
"d:\C++\tinySTL-comment\note\红黑树.md", "Markdown", 0, 17, 0, 21, 38
"d:\C++\tinySTL-comment\set.h", "C++", 25, 0, 0, 8, 33
"d:\C++\tinySTL-comment\test.cpp", "C++", 0, 0, 2, 0, 2
"Total", "-", 46, 17, 1, 28, 92
