"filename", "language", "C++", "comment", "blank", "total"
"d:\C++\tinySTL-comment\priority_queue.h", "C++", 1, 2, -1, 2
"d:\C++\tinySTL-comment\test.cpp", "C++", -1, 1, 0, 0
"Total", "-", 0, 3, -1, 2
