"filename", "language", "C++", "Markdown", "comment", "blank", "total"
"d:\C++\tinySTL-comment\RedBlackTree.h", "C++", 286, 0, 85, 19, 390
"d:\C++\tinySTL-comment\note\doc.md", "Markdown", 0, 1, 0, 0, 1
"d:\C++\tinySTL-comment\note\rbtree_refer\rbtree.cpp", "C++", 278, 0, 83, 29, 390
"d:\C++\tinySTL-comment\test.cpp", "C++", 30, 0, 2, 3, 35
"Total", "-", 594, 1, 170, 51, 816
